date,card_id,name,set_name,variant,market,low,mid,high,cm_trend,cm_avg30
2026-06-11,base1-15,Venusaur,Base,holofoil,154.39,90.0,145.86,1199.0,856.17,506.89
2026-06-11,base1-2,Blastoise,Base,holofoil,226.28,160.0,235.0,9999.0,163.0,125.23
2026-06-11,base1-4,Charizard,Base,holofoil,627.74,499.0,699.95,1500.0,2690.19,1915.54
2026-06-11,gym2-2,Blaine's Charizard,Gym Challenge,unlimitedHolofoil,534.04,539.95,650.0,1499.99,740.1,536.89
2026-06-11,neo1-9,Lugia,Neo Genesis,unlimitedHolofoil,511.14,282.47,399.99,615.74,351.46,280.88
2026-06-11,sma-SV49,Charizard-GX,Hidden Fates Shiny Vault,holofoil,675.73,550.0,789.98,899.99,528.86,544.46
2026-06-11,sv3pt5-199,Charizard ex,151,holofoil,493.44,380.37,500.0,1000.0,235.71,272.73
2026-06-11,sv4pt5-234,Charizard ex,Paldean Fates,holofoil,336.93,324.0,383.35,1684.65,208.67,220.28
2026-06-11,swsh11-186,Giratina V,Lost Origin,holofoil,839.36,820.99,925.05,4196.8,566.41,599.82
2026-06-11,swsh35-74,Charizard VMAX,Champion's Path,holofoil,198.74,215.0,260.96,2300.0,173.62,198.95
2026-06-11,swsh45sv-SV107,Charizard VMAX,Shining Fates Shiny Vault,holofoil,149.44,120.85,181.44,999.99,121.12,133.87
2026-06-11,swsh7-215,Umbreon VMAX,Evolving Skies,holofoil,2261.15,1920.0,2527.91,6000.0,1579.48,1538.35
2026-06-11,swsh7-218,Rayquaza VMAX,Evolving Skies,holofoil,1016.89,544.28,1150.0,1749.0,780.69,779.21
2026-06-11,xy12-11,Charizard,Evolutions,holofoil,102.36,72.62,108.25,10000.0,284.04,79.6
2026-06-12,base1-15,Venusaur,Base,holofoil,154.39,90.0,145.86,1199.0,856.17,506.89
2026-06-12,base1-2,Blastoise,Base,holofoil,226.28,160.0,235.0,9999.0,163.0,125.23
2026-06-12,base1-4,Charizard,Base,holofoil,627.74,499.0,699.95,1500.0,2690.19,1915.54
2026-06-12,gym2-2,Blaine's Charizard,Gym Challenge,unlimitedHolofoil,534.04,539.95,650.0,1499.99,740.1,536.89
2026-06-12,neo1-9,Lugia,Neo Genesis,unlimitedHolofoil,511.14,282.47,399.99,615.74,351.46,280.88
2026-06-12,sma-SV49,Charizard-GX,Hidden Fates Shiny Vault,holofoil,675.73,550.0,789.98,899.99,528.86,544.46
2026-06-12,sv3pt5-199,Charizard ex,151,holofoil,493.44,380.37,500.0,1000.0,235.71,272.73
2026-06-12,sv4pt5-234,Charizard ex,Paldean Fates,holofoil,336.93,324.0,383.35,1684.65,208.67,220.28
2026-06-12,swsh11-186,Giratina V,Lost Origin,holofoil,839.36,820.99,925.05,4196.8,566.41,599.82
2026-06-12,swsh35-74,Charizard VMAX,Champion's Path,holofoil,198.74,215.0,260.96,2300.0,173.62,198.95
2026-06-12,swsh45sv-SV107,Charizard VMAX,Shining Fates Shiny Vault,holofoil,149.44,120.85,181.44,999.99,121.12,133.87
2026-06-12,swsh7-215,Umbreon VMAX,Evolving Skies,holofoil,2261.15,1920.0,2527.91,6000.0,1579.48,1538.35
2026-06-12,swsh7-218,Rayquaza VMAX,Evolving Skies,holofoil,1016.89,544.28,1150.0,1749.0,780.69,779.21
2026-06-12,xy12-11,Charizard,Evolutions,holofoil,102.36,72.62,108.25,10000.0,284.04,79.6
2026-06-13,base1-15,Venusaur,Base,holofoil,154.77,87.0,157.82,1199.0,856.17,506.89
2026-06-13,base1-2,Blastoise,Base,holofoil,230.0,160.0,219.17,9999.0,158.67,125.23
2026-06-13,base1-4,Charizard,Base,holofoil,619.22,499.0,699.97,1500.0,2690.19,1915.54
2026-06-13,gym2-2,Blaine's Charizard,Gym Challenge,unlimitedHolofoil,534.04,539.95,1201.29,1499.99,694.87,536.89
2026-06-13,neo1-9,Lugia,Neo Genesis,unlimitedHolofoil,511.14,283.17,400.0,615.74,351.46,280.88
